Text,label
MoonBounce is notable for being the third publicly revealed case of an implant from the latter class of firmware-based rootkits.,1
"The source of the infection starts with a set of hooks that intercept the execution of several functions in the EFI Boot Services Table, namely AllocatePool, CreateEventEx and ExitBootServices. ",1
"Those hooks are used to divert the flow of these functions to malicious shellcode that is appended by the attackers to the CORE_DXE image, which in turn sets up",1
"This driver, which runs during the initial phases of the kernel’s execution, is in charge of deploying user-mode malware by injecting it into an svchost.exe process, once the operating system is up and running.",1
"Finally, the user mode malware reaches out to a hardcoded C&C URL (i.e. hxxp://mb.glbaitech[.]com/mboard.dll) and attempts to fetch another stage of the payload to run in memory, which we were not able to retrieve.",1
"The commands retrieved from the server are also encrypted with AES-128, with the key stored in the command’s file itself. ",1
"They are known to target senior business executives by uploading malicious code to their computers through infiltrated hotel WiFi networks, as well as through spear-phishing and P2P attacks.",1
The first stage of this attack is a multi-layered malicious document which defines an AltChunk element to load an embedded DOCX file. ,1
The embedded DOCX file defines another AltChunk element which loads an embedded malicious RTF file. ,1
"When the RTF file is loaded, the three OLE objects are dropped in the %temp% directory with the names “p”, “b” and “googleofficechk.sct”. ",1
It sends a POST request to the URL “http://signing-config[.]com/cta/key.php” with DATA “L=G641giQQOWUiXE&q={Base64 encoded list of running processes}”,1
Copies the executable from “%temp%\p” to “%LOCALAPPDATA%\PeerDistRepub\qq3104.exe”,1
"The domain, deepersbot[.]network was registered by the threat actor to spoof the legitimate domain, deeper[.]network.",1
The iOS exploit chain used a framework based on Ironsquirrel to encrypt exploits delivered to the victim's browser.,1
"After gaining root, the downloaded payload is loaded and run in the background on the victim's machine via launchtl.",1
" For example, the payload we obtained contained a kernel module for capturing keystrokes. ",1
Notable features for this backdoor include: victim device fingerprinting screen capture file download/upload executing terminal commands audio recording keylogging,1
"Since early September 2021, Proofpoint researchers are tracking renewed malware campaigns by the financially driven TA505.",0
"The early campaigns identified by Proofpoint in September 2021 were low volume compared to typical TA505 activity, with only several thousand messages per wave. ",0
TA505 used more specific lures that did not affect as many industries as the more recent October 2021 campaigns.,0
"These early campaigns also largely focused on targets in North America, such as United States and Canada.",0
"In late September and throughout October 2021, Proofpoint observed a shift to familiar TA505 tactics, techniques, and procedures (TTPs) that are reminiscent of the actor’s 2019 and 2020 campaigns.",0
"Microsoft continues to work with partners and customers to track and expand our knowledge of the threat actor we refer to as NOBELIUM, the actor behind the SUNBURST backdoor, TEARDROP malware, and related components.",0
"As we stated before, we suspect that NOBELIUM can draw from significant operational resources often showcased in their campaigns, including custom-built malware and tools. ",0
 It can also receive additional malicious components from a command-and-control (C2) server and execute them on the compromised server.,1
"After compromising an AD FS server, NOBELIUM was observed dropping the following two files on the system (administrative privileges are required to write these files to the  folders listed below)",1
"FoggyWeb is stored in the encrypted file Windows.Data.TimeZones.zh-PH.pri, while the malicious file version.dll can be described as its loader. ",1
"Before returning the output of the C2 commands (that is, the token-signing certificate, the token encryption certificate, or the AD FS service configuration data) to the C2 in an HTTP 200 response, the backdoor first obfuscates the output by calling its method named GetWebpImage().",1
"If the decoded X509Certificate value starts with “MZ,” the backdoor treats the decoded data as a .NET-based assembly/payload and proceeds to call its Service.ExecuteBinary() method to load and execute the DLL payload in memory.",1
"As the name suggests, the Service.GetCertificate() method is responsible for retrieving an AD FS certificate (either the token- signing or the token encryption certificate, depending on the value of the certificateType parameter passed to the method) from the AD FS service configuration database.",1
A variant of the technique described in this Appendix was publicly presented by Douglas Bienstock and Austin Baker at the TROOPERS conference in 2019 ,0
Azure Sentinel customers can use the following detection queries to look for this activity:,0
"To locate related activity, run the following advanced hunting queries in Microsoft 365 Defender:",0
ndpoint detection and response (EDR) capabilities in Microsoft Defender for Endpoint detect malicious behavior related to this malware which is surfaced as alerts with the following titles:,0
This report examines the unspoken connections between the Russian Federation (in the form of Russian intelligence services or the Kremlin) and cybercriminals in Russia and Eastern Europe. ,0
