source_type,source_id,target_type,target_id,relationships,description
Group,G0067,Technique,T1203,uses,Subject has used Flash Player and Word exploits for execution.
Group,G0046,Technique,T1125,uses,Subject created a custom video recording capability that could be used to monitor operations in the victim's environment.
Group,G0049,Technique,T1057,uses,Subject has run object0 on a victim's machine.
Software,S0128,Technique,T1071.001,uses,Subject establishes a backdoor over HTTP.
Group,G0016,Technique,T1547.001,uses,Subject added Registry Run keys to establish persistence.
Group,G0045,Technique,T1047,uses,"Subject has used a modified version of pentesting script wmiexec.vbs, which logs into a remote machine using WMI."
Group,G0004,Technique,T1005,uses,Subject gathered information and files from local directories for exfiltration.
Software,S0239,Technique,T1005,uses,Subject collects files from the local system.
Group,G0078,Technique,T1566.001,uses,Subject sent emails to victims with malicious Microsoft Office documents attached.
Group,G0022,Technique,T1074.001,uses,Subject has been known to stage files for exfiltration in a single location.
Group,G0074,Technique,T1036,uses,Subject created accounts disguised as legitimate backup and service accounts as well as an email administration account.
Group,G0040,Technique,T1083,uses,A Subject payload has searched all fixed drives on the victim for files matching a specified list of extensions.
Group,G0060,Technique,T1560.001,uses,Subject has compressed data into password-protected RAR archives prior to exfiltration.
Group,G0007,Technique,T1001.001,uses,"Subject added ""junk data"" to each encoded string, preventing trivial decoding without knowledge of the junk removal algorithm."
Group,G0007,Technique,T1001.001,uses,"Each implant was given a ""junk length"" value when created, tracked by the controller software to allow seamless communication but prevent analysis of the command protocol on the wire."
Group,G0073,Technique,T1016,uses,Subject used an HTTP malware variant and a Port 22 malware variant to collect the MAC address and IP address from the victim’s machine.
Group,G0074,Technique,T1069.002,uses,Subject used batch scripts to enumerate administrators and users in the domain.
Group,G0004,Technique,T1007,uses,Subject performs service discovery using object1 commands.
Group,G0007,Technique,T1091,uses,Subject uses a tool to infect connected USB devices and transmit itself to air-gapped computers when the infected USB device is inserted.
Group,G0022,Technique,T1087.001,uses,"Subject has used a tool that can obtain info about local and global group users, power users, and administrators."
Software,S0045,Technique,T1106,uses,Subject is capable of starting a process using CreateProcess.
Group,G0074,Technique,T1204.002,uses,Subject has used various forms of spearphishing in attempts to get users to open attachments.
Group,G0032,Technique,T1134.002,uses,Subject keylogger KiloAlfa obtains user tokens from interactive sessions to execute itself with API call object2 under that user's context.
Group,G0022,Technique,T1056.001,uses,Subject has used a keylogging tool that records keystrokes in encrypted files.
Software,S0171,Technique,T1105,uses,Subject can download files from remote servers.
Group,G0064,Technique,T1566.002,uses,Subject has sent spearphishing emails containing links to .hta files.
Group,G0073,Technique,T1204.002,uses,Subject attempted to get users to launch malicious attachments delivered via spearphishing emails.
Group,G0080,Technique,T1021.001,uses,Subject has used Remote Desktop Protocol to conduct lateral movement.
Group,G0011,Technique,T1078,uses,Subject attempts to obtain legitimate credentials during operations.
Group,G0038,Technique,T1005,uses,Subject malware gathers data from the local victim system.
Group,G0061,Technique,T1027,uses,Subject has used environment variables and standard input to obfuscate command-line arguments.
Group,G0061,Technique,T1027,uses,Subject also obfuscates malicious macros delivered as payloads.
Group,G0074,Technique,T1059,uses,Subject used command line for execution.
Group,G0009,Technique,T1218.010,uses,Subject has used regsvr32.exe to execute a server variant of Subject in victim networks.
Group,G0074,Technique,T1071,uses,Subject used SMB for C2.
Group,G0067,Technique,T1057,uses,Subject's Freenki malware lists running processes using the Microsoft Windows API.
Group,G0080,Technique,T1218.003,uses,Subject has used the command object3 to bypass AppLocker and launch a malicious script.
Group,G0033,Technique,T1049,uses,Subject obtains and saves information about victim network interfaces and addresses.
Group,G0060,Technique,T1204.002,uses,Subject has attempted to get users to launch malicious Microsoft Word attachments delivered via spearphishing emails.
Software,S0274,Technique,T1070.004,uses,Subject has the capability to use object4 to remove folders and files from the victim's machine.
Software,S0255,Technique,T1218.011,uses,Subject uses Rundll32 to ensure only a single instance of itself is running at once.
Group,G0072,Technique,T1548.002,uses,Subject uses a combination of NTWDBLIB.dll and cliconfg.exe to bypass UAC protections using DLL hijacking.
Group,G0074,Technique,T1136.001,uses,"Subject created accounts on victims, including administrator accounts, some of which appeared to be tailored to each individual staging target."
Group,G0022,Technique,T1016,uses,"A keylogging tool used by Subject gathers network information from the victim, including the MAC address, IP address, WINS, DHCP server, and gateway."
Group,G0066,Technique,T1027.002,uses,Subject has packed malware payloads before delivery to victims.
Group,G0052,Technique,T1218.011,uses,"Subject uses rundll32 to load various tools on victims, including a lateral movement tool named Vminst, Cobalt Strike, and shellcode."
Group,G0007,Technique,T1114.002,uses,Subject has collected emails from victim Microsoft Exchange servers.
Group,G0050,Technique,T1072,uses,Subject compromised McAfee ePO to move laterally by distributing malware as a software deployment task.
Software,S0070,Technique,T1071.001,uses,Subject has used HTTP and HTTPS for command and control.
Software,S0062,Technique,T1008,uses,"Subject has two hard-coded domains for C2 servers; if the first does not respond, it will try the second."
Group,G0049,Technique,T1140,uses,A Subject macro has run a PowerShell command to decode file contents.
Group,G0049,Technique,T1140,uses,Subject has also used Subject to decode base64-encoded files on victims.
Group,G0046,Technique,T1553.002,uses,Subject has signed Subject payloads with legally purchased code signing certificates.
Group,G0046,Technique,T1553.002,uses,"Subject has also digitally signed their phishing documents, backdoors and other staging tools to bypass security controls."
Group,G0064,Technique,T1204.001,uses,Subject has lured users to click links to malicious HTML applications delivered via spearphishing emails.
Group,G0027,Technique,T1018,uses,Subject has used the object5 command.
Group,G0053,Technique,T1090.002,uses,Subject maintains access to victim environments by using Subject to create a proxy for a backup RDP tunnel.
